Product,SalesAmount,ORDERDATE,PRODUCTCODE
10107,2871,2/24/2003 0:00,S10_1678
10121,2765.9,05-07-2003 00:00,S10_1678
10134,3884.34,,S10_1678
10145,3746.7,8/25/2003 0:00,S10_1678
10159,5205.27,10-10-2003 00:00,S10_1678
10168,3479.76,10/28/2003 0:00,S10_1678
10180,2497.77,11-11-2003 00:00,S10_1678
10188,5512.32,11/18/2003 0:00,S10_1678
10201,2168.54,,S10_1678
10211,4708.44,1/15/2004 0:00,S10_1678
10223,3965.66,2/20/2004 0:00,S10_1678
10237,2333.12,04-05-2004 00:00,S10_1678
10251,3188.64,5/18/2004 0:00,S10_1678
10263,3676.76,6/28/2004 0:00,S10_1678
10275,4177.35,7/23/2004 0:00,S10_1678
10285,4099.68,8/27/2004 0:00,S10_1678
10299,2597.39,9/30/2004 0:00,S10_1678
10309,4394.38,10/15/2004 0:00,S10_1678
10318,4358.04,11-02-2004 00:00,S10_1678
10329,4396.14,11/15/2004 0:00,S10_1678
10341,7737.93,11/24/2004 0:00,S10_1678
10361,1451,12/17/2004 0:00,S10_1678
10375,733.11,02-03-2005 00:00,S10_1678
10388,3207.12,03-03-2005 00:00,S10_1678
10403,2434.56,04-08-2005 00:00,S10_1678
10417,,5/13/2005 0:00,S10_1678
10103,5404.62,1/29/2003 0:00,S10_1949
10112,7209.11,3/24/2003 0:00,S10_1949
10126,7329.06,,S10_1949
10140,7374.1,7/24/2003 0:00,S10_1949
10150,10993.5,9/19/2003 0:00,S10_1949
10163,4860.24,10/20/2003 0:00,
10174,8014.82,11-06-2003 00:00,S10_1949
10183,5372.57,11/13/2003 0:00,S10_1949
10194,7290.36,11/25/2003 0:00,S10_1949
10206,9064.89,12-05-2003 00:00,S10_1949
10215,6075.3,1/29/2004 0:00,S10_1949
10228,6463.23,03-10-2004 00:00,S10_1949
10245,6120.34,05-04-2004 00:00,S10_1949
10258,7680.64,6/15/2004 0:00,S10_1949
10270,4905.39,7/19/2004 0:00,S10_1949
10280,8014.82,8/17/2004 0:00,S10_1949
10291,7136.19,09-08-2004 00:00,S10_1949
10304,10172.7,,S10_1949
10312,11623.7,10/21/2004 0:00,S10_1949
10322,6000.4,11-04-2004 00:00,S10_1949
10333,3003,11/18/2004 0:00,S10_1949
10347,3944.7,11/29/2004 0:00,S10_1949
10357,5691.84,12-10-2004 00:00,S10_1949
10369,4514.92,1/20/2005 0:00,S10_1949
10381,8254.8,2/17/2005 0:00,S10_1949
10391,2416.56,03-09-2005 00:00,S10_1949
10411,4140.23,05-01-2005 00:00,S10_1949
10424,12001,5/31/2005 0:00,S10_1949
10107,3896.49,2/24/2003 0:00,S10_2016
10120,2793.86,4/29/2003 0:00,S10_2016
10134,3307.77,07-01-2003 00:00,S10_2016
10145,5192.95,,S10_2016
10159,5016.83,10-10-2003 00:00,S10_2016
10168,3660.93,10/28/2003 0:00,S10_2016
10180,4695.6,11-11-2003 00:00,S10_2016
10188,3660.92,11/18/2003 0:00,S10_2016
10201,3025.92,12-01-2003 00:00,S10_2016
10210,3009.09,01-12-2004 00:00,S10_2016
10223,5422.39,2/20/2004 0:00,S10_2016
10236,2852.08,04-03-2004 00:00,S10_2016
10251,5756.52,5/18/2004 0:00,S10_2016
10263,4472,6/28/2004 0:00,S10_2016
10275,2904.44,,S10_2016
10285,6484.59,8/27/2004 0:00,S10_2016
10298,3757.26,9/27/2004 0:00,S10_2016
10308,4043.96,10/15/2004 0:00,S10_2016
10318,5566.5,11-02-2004 00:00,S10_2016
10329,3176,11/15/2004 0:00,S10_2016
10339,2756.8,11/23/2004 0:00,S10_2016
10361,1329.9,12/17/2004 0:00,S10_2016
10374,5288.01,02-02-2005 00:00,S10_2016
10388,2225.5,03-03-2005 00:00,S10_2016
10402,5833.8,04-07-2005 00:00,S10_2016
10417,5887.35,5/13/2005 0:00,S10_2016
10107,6065.55,2/24/2003 0:00,S10_4698
10120,9264.86,4/29/2003 0:00,S10_4698
10134,7023.98,07-01-2003 00:00,S10_4698
10145,5176.38,8/25/2003 0:00,S10_4698
10159,4132.7,10-10-2003 00:00,S10_4698
10168,4183,10/28/2003 0:00,S10_4698
10180,8892.9,11-11-2003 00:00,S10_4698
10188,8714.7,11/18/2003 0:00,S10_4698
10201,8065.89,12-01-2003 00:00,S10_4698
10210,6123.4,01-12-2004 00:00,S10_4698
10223,9774.03,2/20/2004 0:00,S10_4698
10237,7023.9,04-05-2004 00:00,S10_4698
10251,7078.23,5/18/2004 0:00,S10_4698
10263,8336.94,6/28/2004 0:00,S10_4698
10275,6901.92,7/23/2004 0:00,S10_4698
10285,5438.07,8/27/2004 0:00,S10_4698
10299,6683.34,9/30/2004 0:00,S10_4698
10308,4570.4,10/15/2004 0:00,S10_4698
10318,7667.14,11-02-2004 00:00,S10_4698
10329,5868.2,11/15/2004 0:00,S10_4698
10339,2990.13,11/23/2004 0:00,S10_4698
10362,3664.1,01-05-2005 00:00,S10_4698
10374,3834.38,02-02-2005 00:00,S10_4698
10388,1822.17,03-03-2005 00:00,S10_4698
10403,11886.6,04-08-2005 00:00,S10_4698
10417,9218.16,5/13/2005 0:00,S10_4698
10105,7208,02-11-2003 00:00,S10_4757
10119,5004.8,4/28/2003 0:00,S10_4757
10129,4398.24,06-12-2003 00:00,S10_4757
10143,5597.76,08-10-2003 00:00,S10_4757
10155,4526.08,10-06-2003 00:00,S10_4757
10167,5924.16,10/23/2003 0:00,S10_4757
10178,3492.48,11-08-2003 00:00,S10_4757
10186,3854.24,11/14/2003 0:00,S10_4757
10197,5324.4,11/26/2003 0:00,S10_4757
10209,5197.92,01-09-2004 00:00,S10_4757
10222,5997.6,2/19/2004 0:00,S10_4757
10248,2910.4,05-07-2004 00:00,S10_4757
10261,3378.24,6/17/2004 0:00,S10_4757
10273,3508.8,7/21/2004 0:00,S10_4757
10283,2992,8/20/2004 0:00,S10_4757
10295,3427.2,09-10-2004 00:00,S10_4757
10307,2692.8,10/14/2004 0:00,S10_4757
10316,4128.96,11-01-2004 00:00,S10_4757
10325,3051.71,11-05-2004 00:00,S10_4757
10337,1201.25,11/21/2004 0:00,S10_4757
10350,1962.22,12-02-2004 00:00,S10_4757
10359,2624.64,12/15/2004 0:00,S10_4757
10373,4046.25,1/31/2005 0:00,S10_4757
10384,4846.7,2/23/2005 0:00,S10_4757
10395,3370.56,3/17/2005 0:00,S10_4757
10400,9661.44,04-01-2005 00:00,S10_4757
10414,2764.88,05-06-2005 00:00,S10_4757
10103,5398.26,1/29/2003 0:00,S10_4962
10114,4305.28,04-01-2003 00:00,S10_4962
10126,3347.74,5/28/2003 0:00,S10_4962
10140,3188.12,7/24/2003 0:00,S10_4962
10150,3191.2,9/19/2003 0:00,S10_4962
10164,3536.82,10/21/2003 0:00,S10_4962
10175,5362.83,11-06-2003 00:00,S10_4962
10183,3433.36,11/13/2003 0:00,S10_4962
10194,4263.74,11/25/2003 0:00,S10_4962
10207,4076.19,12-09-2003 00:00,S10_4962
10217,7020.48,02-04-2004 00:00,S10_4962
10229,6426.5,03-11-2004 00:00,S10_4962
10245,4591.72,05-04-2004 00:00,S10_4962
10259,4033.38,6/15/2004 0:00,S10_4962
10270,4302.08,7/19/2004 0:00,S10_4962
10281,7020.64,8/19/2004 0:00,S10_4962
10291,3855.9,09-08-2004 00:00,S10_4962
10305,6680.78,10/13/2004 0:00,S10_4962
10313,6678,10/22/2004 0:00,S10_4962
10322,2851.54,11-04-2004 00:00,S10_4962
10334,3188.12,11/19/2004 0:00,S10_4962
10347,4428,11/29/2004 0:00,S10_4962
10357,5780.92,12-10-2004 00:00,S10_4962
10370,2297.05,1/20/2005 0:00,S10_4962
10381,6231.54,2/17/2005 0:00,S10_4962
10391,1735.3,03-09-2005 00:00,S10_4962
10411,4427.73,05-01-2005 00:00,S10_4962
10425,5894.94,5/31/2005 0:00,S10_4962
10108,5265.15,03-03-2003 00:00,S12_1099
10122,7599.9,05-08-2003 00:00,S12_1099
10135,8008.56,07-02-2003 00:00,S12_1099
10147,9245.76,09-05-2003 00:00,S12_1099
10159,8296.35,10-10-2003 00:00,S12_1099
10169,5019.9,11-04-2003 00:00,S12_1099
10181,5411.07,11-12-2003 00:00,S12_1099
10191,3840.9,11/20/2003 0:00,S12_1099
10203,3930.4,12-02-2003 00:00,S12_1099
10211,7498.9,1/15/2004 0:00,S12_1099
10225,4517.91,2/22/2004 0:00,S12_1099
10238,5774.72,04-09-2004 00:00,S12_1099
10253,3922.56,06-01-2004 00:00,S12_1099
10266,9160.36,07-06-2004 00:00,S12_1099
10276,9631,08-02-2004 00:00,S12_1099
10287,3432.24,8/30/2004 0:00,S12_1099
10300,5521.89,10-04-2003 00:00,S12_1099
10310,6934.62,10/16/2004 0:00,S12_1099
10320,6876.11,11-03-2004 00:00,S12_1099
10329,2930.27,11/15/2004 0:00,S12_1099
10341,3584.25,11/24/2004 0:00,S12_1099
10363,2817.87,01-06-2005 00:00,S12_1099
10375,3420,02-03-2005 00:00,S12_1099
10389,2575.04,03-03-2005 00:00,S12_1099
10419,1961.28,5/17/2005 0:00,S12_1099
10105,8690.36,02-11-2003 00:00,S12_1108
10117,6034.38,4/16/2003 0:00,S12_1108
10127,11279.2,06-03-2003 00:00,S12_1108
10142,8023.29,08-08-2003 00:00,S12_1108
10153,4904,9/28/2003 0:00,S12_1108
10165,8594.52,10/22/2003 0:00,S12_1108
10176,7474.5,11-06-2003 00:00,S12_1108
10185,3883.74,11/14/2003 0:00,S12_1108
10196,8887.7,11/26/2003 0:00,S12_1108
10208,8602.92,01-02-2004 00:00,S12_1108
10220,7181.44,02-12-2004 00:00,S12_1108
10231,8378.58,3/19/2004 0:00,S12_1108
10247,10606.2,05-05-2004 00:00,S12_1108
10272,5818.4,7/20/2004 0:00,S12_1108
10282,7071.27,8/20/2004 0:00,S12_1108
10293,8411.56,09-09-2004 00:00,S12_1108
10306,6570.76,10/14/2004 0:00,S12_1108
10314,7975.44,10/22/2004 0:00,S12_1108
10325,2688,11-05-2004 00:00,S12_1108
10336,1888.26,11/20/2004 0:00,S12_1108
10348,2513.28,11-01-2004 00:00,S12_1108
10359,4764.48,12/15/2004 0:00,S12_1108
10371,3560.64,1/23/2005 0:00,S12_1108
10382,3823.64,2/17/2005 0:00,S12_1108
10395,2280.96,3/17/2005 0:00,S12_1108
10413,8677.8,05-05-2005 00:00,S12_1108
10103,3394.98,1/29/2003 0:00,S12_1666
10113,3415.44,3/26/2003 0:00,S12_1666
10126,2439.57,5/28/2003 0:00,S12_1666
10140,4829.8,7/24/2003 0:00,S12_1666
10150,4100.1,9/19/2003 0:00,S12_1666
10164,6563.06,10/21/2003 0:00,S12_1666
10174,6817.22,11-06-2003 00:00,S12_1666
10183,6163.94,11/13/2003 0:00,S12_1666
10194,4933.92,11/25/2003 0:00,S12_1666
10206,4056.36,12-05-2003 00:00,S12_1666
10216,5759.42,02-02-2004 00:00,S12_1666
10229,3451,03-11-2004 00:00,S12_1666
10245,5920.4,05-04-2004 00:00,S12_1666
10258,6668.24,6/15/2004 0:00,S12_1666
10270,4094.72,7/19/2004 0:00,S12_1666
10281,2938.5,8/19/2004 0:00,S12_1666
10291,6387.8,09-08-2004 00:00,S12_1666
10304,6396,10-11-2004 00:00,S12_1666
10313,2669.1,10/22/2004 0:00,S12_1666
10322,4784.13,11-04-2004 00:00,S12_1666
10333,3273.93,11/18/2004 0:00,S12_1666
10347,3586.43,11/29/2004 0:00,S12_1666
10357,5960.36,12-10-2004 00:00,S12_1666
10370,8470.14,1/20/2005 0:00,S12_1666
10381,2952,2/17/2005 0:00,S12_1666
10391,2464.8,03-09-2005 00:00,S12_1666
10411,6232,05-01-2005 00:00,S12_1666
10424,7969.36,5/31/2005 0:00,S12_1666
10107,3036.6,2/24/2003 0:00,S12_2823
10121,8284,05-07-2003 00:00,S12_2823
10134,2711.2,07-01-2003 00:00,S12_2823
10145,8339.8,8/25/2003 0:00,S12_2823
10159,6238.84,10-10-2003 00:00,S12_2823
10169,4639.25,11-04-2003 00:00,S12_2823
10180,6747.6,11-11-2003 00:00,S12_2823
10189,4512.48,11/18/2003 0:00,S12_2823
10201,4029,12-01-2003 00:00,S12_2823
10211,4771.8,1/15/2004 0:00,S12_2823
10224,6087.94,2/21/2004 0:00,S12_2823
10237,4193.28,04-05-2004 00:00,S12_2823
10251,7552.28,5/18/2004 0:00,S12_2823
10263,6434.4,6/28/2004 0:00,S12_2823
10276,5181.5,08-02-2004 00:00,S12_2823
10285,6863.92,8/27/2004 0:00,S12_2823
10299,4157.04,9/30/2004 0:00,S12_2823
10309,4660.24,10/15/2004 0:00,S12_2823
10319,4111.8,11-03-2004 00:00,S12_2823
10329,3542.64,11/15/2004 0:00,S12_2823
10341,8118.55,11/24/2004 0:00,S12_2823
10362,3877.06,01-05-2005 00:00,S12_2823
10375,3867.08,02-03-2005 00:00,S12_2823
10388,5951.44,03-03-2005 00:00,S12_2823
10403,8648.64,04-08-2005 00:00,S12_2823
10417,3447.78,5/13/2005 0:00,S12_2823
10104,5958.5,1/31/2003 0:00,S12_3148
10117,5911.64,4/16/2003 0:00,S12_3148
10127,7366.44,06-03-2003 00:00,S12_3148
10142,4985.64,08-08-2003 00:00,S12_3148
10153,5393.64,9/28/2003 0:00,S12_3148
10165,4880.02,10/22/2003 0:00,S12_3148
10176,8378.69,11-06-2003 00:00,S12_3148
10185,4038.21,11/14/2003 0:00,S12_3148
10196,3807.12,11/26/2003 0:00,S12_3148
10208,3142.36,01-02-2004 00:00,S12_3148
10220,4713.6,02-12-2004 00:00,S12_3148
10230,7016.31,3/15/2004 0:00,S12_3148
10247,4381.25,05-05-2004 00:00,S12_3148
10272,4283.01,7/20/2004 0:00,S12_3148
10282,4364.82,8/20/2004 0:00,S12_3148
10293,4242.24,09-09-2004 00:00,S12_3148
10306,4982.7,10/14/2004 0:00,S12_3148
10314,6393.54,10/22/2004 0:00,S12_3148
10324,1466.91,11-05-2004 00:00,S12_3148
10336,4059.33,11/20/2004 0:00,S12_3148
10348,4801.52,11-01-2004 00:00,S12_3148
10358,2711.66,12-10-2004 00:00,S12_3148
10372,5862,1/26/2005 0:00,S12_3148
10382,4071.85,2/17/2005 0:00,S12_3148
